88067470X;Sebastian;Luna;Camino Constitución 906;Camas;41900;606658766;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('88067470X,'Sebastian,'Luna,'Camino Constitución 906,'Camas,41900,606658766);"
14320506Q;Emilio Jose;Chamorro;Vía Constitución 891;Camas;41900;615634861;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('14320506Q,'Emilio Jose,'Chamorro,'Vía Constitución 891,'Camas,41900,615634861);"
44623906L;Alba;Dorado;Paseo Diego Velázquez 936;Camas;41900;632282839;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('44623906L,'Alba,'Dorado,'Paseo Diego Velázquez 936,'Camas,41900,632282839);"
30042043H;Omar;Barreiro;Callejón Pablo Picasso 780;Camas;41900;666429705;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('30042043H,'Omar,'Barreiro,'Callejón Pablo Picasso 780,'Camas,41900,666429705);"
26530230Y;Joaquina;Padilla;Travesía Rafael Alberti 434;Camas;41900;649856884;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('26530230Y,'Joaquina,'Padilla,'Travesía Rafael Alberti 434,'Camas,41900,649856884);"
65686802K;Ramon;Muñiz;Camino San Antonio 449;Camas;41900;652998971;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('65686802K,'Ramon,'Muñiz,'Camino San Antonio 449,'Camas,41900,652998971);"
07317633E;Alexandra;Cid;Gran vía San Miguel 450;Camas;41900;628478164;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('07317633E,'Alexandra,'Cid,'Gran vía San Miguel 450,'Camas,41900,628478164);"
35975152R;Dario;Salguero;Cuesta Manuel de Falla 868;Camas;41900;662746365;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('35975152R,'Dario,'Salguero,'Cuesta Manuel de Falla 868,'Camas,41900,662746365);"
24794393W;Jose Daniel;Soria;Cuesta Ramón y Cajal 631;Camas;41900;677125725;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('24794393W,'Jose Daniel,'Soria,'Cuesta Ramón y Cajal 631,'Camas,41900,677125725);"
39480567D;Kevin;Hernandez;Carrera Iglesia 347;Camas;41900;650324158;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('39480567D,'Kevin,'Hernandez,'Carrera Iglesia 347,'Camas,41900,650324158);"
50428041N;Maria Rocio;Rico;Camino Rafael Alberti 733;Camas;41900;737709341;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('50428041N,'Maria Rocio,'Rico,'Camino Rafael Alberti 733,'Camas,41900,737709341);"
77243526G;Armando;Salgado;Paseo Manuel de Falla 682;Camas;41900;756958320;,';;,;");";INSERT INTO CLIENTE VALUES (';"INSERT INTO CLIENTE VALUES ('77243526G,'Armando,'Salgado,'Paseo Manuel de Falla 682,'Camas,41900,756958320);"
